Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
78,8.28E-06,1.642E-05,1.112E-05,2.83E-05,3.105E-05,6.583E-05,0.00010447,0.00014911,0.00022517,0.00032122,0.00070873,0.00067915,0.00098555,0.00095113,0.00160873,0.0015541,0.00145768,0.00171148,0.0013201,0.00151422,0.00149477
79,9.12E-06,1.468E-05,1.259E-05,2.954E-05,2.523E-05,4.877E-05,0.00010324,0.00015167,0.00020817,0.00031215,0.00072304,0.00075296,0.00076556,0.00110666,0.0011523,0.00163432,0.00112424,0.00165038,0.00121385,0.00168017,0.00127385
80,6.39E-06,1.314E-05,1.487E-05,3.584E-05,2.186E-05,4.632E-05,8.009E-05,0.00012685,0.00023157,0.00025111,0.00056879,0.00054595,0.00074169,0.00172293,0.00142146,0.0016659,0.0012707,0.00172618,0.00108968,0.0015731,0.00135372
81,5.59E-06,7.71E-06,7.63E-06,1.512E-05,3.445E-05,4.531E-05,5.511E-05,0.00014795,0.00027538,0.00029539,0.00057121,0.00055714,0.00083378,0.00096545,0.00097499,0.0029681,0.00098967,0.00179002,0.00140862,0.00146892,0.00168244
82,3.41E-06,6.24E-06,1.952E-05,1.307E-05,4.617E-05,5.4E-05,4.733E-05,0.00010657,0.00017789,0.00032373,0.00039234,0.00053236,0.00064427,0.00099665,0.00091145,0.00158612,0.00102152,0.00156979,0.00150485,0.0012458,0.00143842
83,2.53E-06,5.35E-06,1.161E-05,1.245E-05,1.805E-05,3.522E-05,4.982E-05,0.00010316,0.00016037,0.00030824,0.00030246,0.00048259,0.00055772,0.00115127,0.00101019,0.00128549,0.00113873,0.00121019,0.00130202,0.00124378,0.00102832
84,2.34E-06,6.58E-06,4.8E-06,1.006E-05,1.753E-05,4.937E-05,5.39E-05,9.161E-05,0.00014411,0.00025183,0.00021396,0.00050222,0.00060589,0.00101252,0.00094571,0.0013027,0.00109579,0.00139438,0.00142369,0.00156712,0.00077122
85,1.76E-06,2.75E-06,5.06E-06,8.48E-06,1.427E-05,4.041E-05,5.718E-05,8.729E-05,0.00014078,0.00027624,0.0003167,0.00043778,0.00047447,0.00076122,0.00073952,0.00141149,0.00129825,0.00126937,0.00142562,0.00093846,0.00088681
86,1.67E-06,4.01E-06,4.84E-06,8.29E-06,1.082E-05,3.363E-05,4.666E-05,7.363E-05,0.00012679,0.00021138,0.00033694,0.00047833,0.0005154,0.00061974,0.00077289,0.00133425,0.0009939,0.00158262,0.00136438,0.00120768,0.00089209
87,1.11E-06,2.8E-06,3.15E-06,6.65E-06,1.132E-05,2.089E-05,4.586E-05,8.52E-05,8.218E-05,0.0002123,0.00038395,0.00040926,0.0005179,0.00057827,0.00052211,0.00136857,0.00100925,0.00140239,0.00178223,0.00119219,0.00134732
