Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
75,4.156E-05,0.00010646,6.488E-05,0.00013793,0.00021169,0.00035341,0.00062026,0.00099385,0.00132149,0.00240945,0.00414963,0.00366589,0.00579344,0.00624417,0.00552276,0.00861469,0.00915808,0.00897658,0.00764971,0.00697731,0.00562817
76,4.191E-05,8.991E-05,5.178E-05,0.00013336,0.00017031,0.00034557,0.00058579,0.00084789,0.00120167,0.00200473,0.00452775,0.00309123,0.00542197,0.0053716,0.00498805,0.00938373,0.00840914,0.01000374,0.00807741,0.00722008,0.00499981
77,3.281E-05,9.33E-05,4.954E-05,0.00010794,0.00017551,0.00033568,0.0005556,0.00075184,0.00120278,0.00178663,0.00404013,0.00295221,0.00459785,0.00488637,0.00535325,0.0077419,0.00677765,0.00926032,0.00682043,0.00711688,0.00558002
78,3.16E-05,6.45E-05,5.025E-05,0.0001032,0.00013602,0.00027693,0.00050414,0.00071371,0.00103279,0.00162957,0.00336335,0.00292181,0.00480552,0.00413088,0.00492734,0.00753982,0.00655851,0.00877332,0.00593176,0.00644591,0.00604159
79,2.974E-05,5.609E-05,4.491E-05,0.00011252,0.00012008,0.00021876,0.00047696,0.00068832,0.00099693,0.00154525,0.00295746,0.00254654,0.00379622,0.00439822,0.00434294,0.00790303,0.00538983,0.00795123,0.00594561,0.00640879,0.00519599
80,2.569E-05,4.726E-05,5.173E-05,7.683E-05,9.923E-05,0.00019234,0.00030591,0.00060978,0.00099663,0.00125869,0.00282256,0.0025398,0.00371951,0.00491375,0.00410434,0.00770466,0.00577048,0.00790137,0.00553323,0.00573747,0.00499064
81,2.376E-05,3.287E-05,3.772E-05,5.838E-05,9.774E-05,0.00019739,0.00025231,0.00058629,0.00097639,0.00130305,0.00238959,0.0024285,0.00354796,0.00408579,0.00384892,0.00862252,0.00582142,0.00741607,0.0064331,0.00538901,0.00676783
82,1.518E-05,2.636E-05,4.804E-05,5.345E-05,0.00013554,0.00023183,0.00021732,0.0004588,0.00076546,0.0013318,0.0018236,0.00235633,0.00325542,0.00408373,0.00393568,0.0075968,0.00516299,0.00612332,0.00585873,0.00538015,0.00591722
83,8.01E-06,2.142E-05,3.447E-05,4.493E-05,8.43E-05,0.00018351,0.00027963,0.00046924,0.00069375,0.00123968,0.00156212,0.0019329,0.00277378,0.00423352,0.0034926,0.00675206,0.00517308,0.00553907,0.00665514,0.00482704,0.00455634
84,9.96E-06,2.067E-05,2.392E-05,3.93E-05,6.914E-05,0.00017955,0.00022884,0.00036055,0.00061574,0.00119944,0.00120467,0.00195307,0.00270184,0.00394529,0.00346161,0.00724834,0.00506072,0.00674315,0.0064342,0.00559949,0.00367178
85,8E-06,1.392E-05,2.225E-05,3.411E-05,6.452E-05,0.00015731,0.00025624,0.00036667,0.00052568,0.0011736,0.00128947,0.00204507,0.00248427,0.00353137,0.00312878,0.00801558,0.00516792,0.00613663,0.00619903,0.0051798,0.0037429
86,6.25E-06,1.544E-05,2.093E-05,3.332E-05,4.756E-05,0.00013596,0.00016824,0.00035567,0.00046711,0.00093723,0.00125594,0.00180452,0.00251014,0.00305119,0.0031734,0.00686242,0.00428478,0.00690215,0.00574886,0.00558603,0.00407912
87,4.41E-06,1.231E-05,1.212E-05,2.954E-05,5.812E-05,9.83E-05,0.00015292,0.00032641,0.0003343,0.00081159,0.00138207,0.001563,0.00224067,0.00247715,0.00287202,0.00579473,0.00389436,0.0065125,0.00671006,0.00561135,0.00507601
88,3.67E-06,1.142E-05,1.063E-05,2.859E-05,3.66E-05,6.96E-05,0.00016436,0.00026957,0.00037365,0.00079839,0.00105633,0.00146646,0.00225928,0.0021672,0.00254959,0.00556124,0.00352,0.00611297,0.0054734,0.00495508,0.00467236
89,3.73E-06,1.005E-05,1.344E-05,1.967E-05,3.924E-05,4.71E-05,0.00013348,0.00026293,0.00035434,0.00077093,0.00065512,0.00145996,0.00195862,0.00181231,0.00220835,0.00459903,0.00329737,0.00592059,0.00533511,0.00431304,0.00363322
90,3.22E-06,6.64E-06,1.048E-05,1.582E-05,3.253E-05,4.691E-05,0.00012262,0.00020126,0.00025159,0.0006072,0.00060657,0.00111472,0.00183272,0.00185635,0.00217067,0.00478225,0.00382155,0.00559477,0.00454314,0.00432931,0.00390781
91,3E-06,6.16E-06,9.08E-06,1.274E-05,3.476E-05,5.258E-05,0.0001214,0.0001768,0.00024514,0.00042366,0.00056584,0.00112197,0.00166056,0.00186349,0.00218035,0.00433864,0.00340831,0.00469298,0.0039325,0.00757846,0.00333355
92,2.79E-06,3.4E-06,9.13E-06,1.226E-05,3.629E-05,4.807E-05,7.268E-05,0.00015985,0.00020101,0.00047719,0.00052808,0.00102643,0.00142335,0.00188366,0.00212348,0.00390533,0.00338059,0.00470411,0.00421328,0.00687557,0.00311749
93,2.08E-06,3.41E-06,9.81E-06,1.1E-05,3.247E-05,5.015E-05,6.903E-05,0.00012773,0.00017435,0.00044727,0.00042385,0.00086062,0.00136444,0.00136428,0.00246631,0.00332621,0.00292562,0.00547472,0.00447732,0.00639588,0.00319418
