Number of Parameters,R=0.5,R=0.6,R=0.7,R=0.8,R=0.9,R=1.0,R=1.1,R=1.2,R=1.3,R=1.4,R=1.5,R=1.6,R=1.7,R=1.8,R=1.9,R=2.0,R=2.1,R=2.2,R=2.3,R=2.4,R=2.5
49,3.965E-05,3.951E-05,7.082E-05,5.492E-05,6.001E-05,0.00011857,0.00014877,0.00016417,0.00015418,0.00020183,0.00035039,0.00043031,0.00068612,0.00071117,0.00041896,0.0003054,0.00029867,9.751E-05,0.00019778,0.00010929,2.618E-05
50,2.14E-05,3.452E-05,6.115E-05,4.66E-05,5.327E-05,0.00010615,0.00013542,0.0001986,0.00013249,0.00020477,0.0002578,0.0002749,0.00063339,0.0006956,0.00047011,0.0002398,0.00021159,7.981E-05,0.00010895,8.007E-05,2.239E-05
51,1.31E-05,1.447E-05,3.426E-05,2.936E-05,4.204E-05,6.616E-05,0.00010666,0.00011726,9.903E-05,0.00016893,0.00019234,0.00019968,0.00042061,0.00043232,0.00036479,0.00021991,0.00019328,4.963E-05,0.00010405,7.121E-05,1.213E-05
52,6.48E-06,8.08E-06,2.638E-05,2.225E-05,5.481E-05,5.399E-05,9.674E-05,0.00010811,9.968E-05,0.0001227,0.00014732,0.00013124,0.0003117,0.00040036,0.00033134,0.00020077,0.00015361,4.447E-05,8.516E-05,5.057E-05,1.143E-05
53,4.82E-06,6.5E-06,1.769E-05,1.832E-05,2.596E-05,5.142E-05,6.172E-05,5.859E-05,9.646E-05,0.0001118,0.00013017,0.00012251,0.00027806,0.00042902,0.00019561,0.00014239,0.000133,3.738E-05,3.856E-05,7.63E-05,1.017E-05
54,4.42E-06,2.91E-06,1.454E-05,1.649E-05,1.786E-05,4.659E-05,4.394E-05,4.335E-05,6.64E-05,0.00010192,0.00014572,9.584E-05,0.00022344,0.0003586,0.00018211,0.00012335,8.463E-05,3.201E-05,3.52E-05,7.31E-05,9.7E-06
55,2.73E-06,2.04E-06,5.11E-06,7.71E-06,1.269E-05,3.666E-05,3.122E-05,3.238E-05,7.545E-05,0.00010186,0.00012951,9.589E-05,0.00021823,0.00028008,0.00013946,9.406E-05,7.56E-05,2.699E-05,2.776E-05,5.207E-05,8.34E-06
56,2.48E-06,3.22E-06,4.6E-06,5.85E-06,7.47E-06,2.833E-05,3.205E-05,2.985E-05,6.241E-05,6.745E-05,9.242E-05,9.01E-05,0.00016129,0.00024042,0.00011243,8.457E-05,4.09E-05,2.013E-05,2.592E-05,3.865E-05,5.66E-06
57,1.54E-06,2.05E-06,3.34E-06,3.48E-06,5.82E-06,2.539E-05,2.65E-05,2.936E-05,6.199E-05,7.205E-05,0.00010071,6.718E-05,0.00015527,0.00022613,6.346E-05,7.494E-05,3.193E-05,1.804E-05,2.588E-05,2.34E-05,4.83E-06
58,1.41E-06,1.53E-06,1.64E-06,2.47E-06,2.73E-06,3.738E-05,1.543E-05,2.378E-05,5.891E-05,6.278E-05,8.304E-05,5.989E-05,0.00011324,0.00011468,6.115E-05,6.366E-05,2.633E-05,1.637E-05,1.948E-05,1.729E-05,4.74E-06
